"M_T","lia_080314_039_pos","lia_080314_040_pos","lia_080314_041_pos","lia_080314_042_pos","lia_080314_043_pos","lia_080314_044_pos","lia_080314_045_pos","lia_080314_046_pos","lia_080314_047_pos","lia_080314_048_pos"
"186.1134_3.422",1.339245029,0.722796385,0.045645702,0.587952389,0.787476325,0.953582844,0.563701678,0.237821232,0.436831286,0.098054259
"268.1554_5.7337",0.145371934,0.206344393,0.114808529,0.185337874,0.240385647,0.24725346,0.342874423,0.212694111,0.419091284,0.224191179
"88.0222_2.8947",0.329834199,0.291370147,0.127704496,0.422302699,0.511377117,0.5718807,0.179708538,0.102836294,0.368419432,0.086820541
"186.113_4.0183",0.078472694,0.342683982,0.156462826,0.238734995,0.138581841,0.097486487,0.190248358,0.181279494,0.175569428,0.207689378
"158.1198_0.3423",0.59184307,0.348206716,0.605538275,0.456442463,0.54948357,0.387128286,0.423459508,0.619122062,0.527155869,0.434487937
"215.0175_0.5199",0.732489858,0.647873139,0,0.661747926,0.239205154,0.233349231,0.321458389,0,0.989302951,0
"162.056_2.6254",0.429320116,0.169464926,0.315367175,0.217689442,0.043820391,0.1927201,0,0.20218532,0.361381215,0.12564722
"436.1592_4.4623",0.441227696,0.192850771,0,0,0,0,0.349881216,0.127083344,1.14315621,0.0663587
"181.0868_5.7269",0,0.013641928,0.23093677,0.130401317,0.484405591,0.183857121,0,0.204895382,0,0.190358352
"158.1545_5.7089",0.55944319,0.281183525,0.601112344,0.464390202,0.384922166,0.356385026,0.371790514,0.627040166,0.346883244,0.545400629
"97.1004_4.5211",0.022454972,0.222354788,0.080519668,0.172667278,0.034820214,0.097237562,0.129378156,0.129119065,0.101765238,0.20300567
"113.9655_3.2395",0.120885886,0.08352056,0.026623343,0.150767284,0.039017203,0.04148468,0.016293407,0.082823239,0.037947644,0.056036912
"162.0557_3.0987",0.040645209,0.608195781,0.030261963,0,0.347427713,0,0,1.622747753,0.186721166,0.227658255
"81.0703_3.4118",0.104411014,0.243522685,0.135086066,0.49817485,0.14034243,0.128767341,0.216257153,0.245961577,0.178392293,0.186622485
"132.0775_0.4051",0.076920446,0,0,0.269979757,0.291454328,0.269037519,0.429000451,0,0.166885328,0
"255.0669_3.3421",0.4852326,0.20433673,0.171777729,0.341615758,0.680216724,0.587065114,0.240535166,0,0.287259689,0.008558867
"76.0396_4.5039",0.146824207,0.303947371,0.07006092,0.230675495,0.248541786,0.179043878,0.177327623,0.100702787,0.11013437,0.105100497
"118.087_0.3094",0.513893932,0.160905241,0.201412641,0.402715462,0.365175725,0.477759928,0.245851264,0.439955755,0.325619396,0.238516536
"121.0296_3.2977",0.593695244,0.274897127,0.12960286,0.377502258,0.941784547,0.587460465,0.284960321,0.147046871,0.469798658,0.056880285
"279.1346_3.1917",0.929151736,0.355123968,0.061225192,0.188726794,0.903164709,0.515705273,0.204939963,0.060291884,0.333202294,0.019228886
"71.086_3.5655",0.051942414,0.20473959,0.170988268,0.209990464,0.077854576,0.107303328,0.217777034,0.111325873,0.10616294,0.129237265
"400.1301_3.5636",0.054189227,0.20903382,0.322597091,0.311948287,0.049345798,0.112315294,0.26525241,0.194805673,0.127919368,0.237977866
